,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
31288,0xb4a6,VADRES17DEL01,21.0,4.7,0.0,0.0,0.07,0.07,27-03-2022,23:20,23:25,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20
39262,0x9ac7,INDORES09DEL02,21.0,4.8,22.725835,75.887648,22.775835,75.937648,30-03-2022,20:55,21:10,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12
25072,0x1cb7,MUMRES05DEL02,22.0,4.6,18.927584,72.832585,19.007584,72.912585,18-03-2022,21:55,22:10,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26
45408,0x5a9a,SURRES05DEL01,24.0,4.5,21.175104,72.804342,21.185104,72.814342,19-03-2022,08:50,09:05,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16
15617,0x9b70,COIMBRES17DEL03,28.0,4.6,11.026117,76.944652,11.116117,77.034652,04-04-2022,18:45,18:55,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19
10089,0xc2f6,KNPRES11DEL03,27.0,5.0,26.474986,80.342796,26.614986,80.482796,12-02-2022,0.833333333,20:10,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23
14712,0x89da,JAPRES14DEL03,23.0,4.6,26.88842,75.800689,26.97842,75.890689,06-04-2022,20:30,20:45,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19
25253,0x8586,MYSRES03DEL02,22.0,4.5,12.299524,76.64262,12.379524,76.72262,31-03-2022,18:55,0.791666667,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25
24679,0xb188,HYDRES18DEL03,36.0,5.0,17.450851,78.379347,17.480851,78.409347,28-03-2022,22:15,22:25,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22
7724,0x7eb6,MYSRES04DEL02,35.0,5.0,12.3085,76.665808,12.3585,76.715808,26-03-2022,21:30,21:35,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34
1411,0x5f61,CHENRES11DEL03,27.0,4.6,13.064181,80.236442,13.094181,80.266442,11-03-2022,23:40,23:50,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19
14736,0x7a3e,MUMRES02DEL02,37.0,4.8,19.221315,72.862381,19.271315,72.912381,21-03-2022,0.75,18:10,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30
4639,0x29a1,VADRES05DEL03,33.0,4.7,22.310526,73.170937,22.370526,73.230937,17-03-2022,17:15,17:25,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29
29786,0x7f10,CHENRES07DEL02,33.0,4.9,13.081878,80.248519,13.161878,80.328519,31-03-2022,20:35,20:50,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26
29314,0xba67,RANCHIRES05DEL02,30.0,5.0,23.355164,85.324097,23.405164,85.374097,03-03-2022,20:50,20:55,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20
19384,0xef3,MYSRES20DEL01,22.0,4.9,12.337978,76.616792,12.407978,76.686792,04-03-2022,18:35,18:50,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30
15107,0x2317,MYSRES04DEL03,,,12.3085,76.665808,12.3685,76.725808,15-03-2022,,20:45,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33
43332,0x5e08,SURRES09DEL01,30.0,4.1,21.175975,72.795503,21.185975,72.805503,03-04-2022,09:45,09:55,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24
43139,0xda08,BHPRES11DEL03,36.0,4.9,23.233219,77.433571,23.263219,77.463571,15-02-2022,17:50,18:05,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18
18326,0x4ad1,INDORES14DEL02,33.0,4.8,22.761593,75.886362,22.811593,75.936362,13-03-2022,22:45,22:50,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13
4526,0x7438,VADRES06DEL03,30.0,4.8,22.31279,73.170283,22.37279,73.230283,05-03-2022,20:50,21:05,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26
45247,0x62aa,BANGRES16DEL02,22.0,4.9,13.029198,77.570997,13.159198,77.700997,12-03-2022,19:45,19:50,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24
34931,0x67b8,MUMRES06DEL01,34.0,4.7,19.055831,72.833984,19.125831,72.903984,10-03-2022,22:55,23:10,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21
22896,0x7536,INDORES13DEL01,31.0,4.6,22.745049,75.892471,22.755049,75.902471,03-03-2022,11:55,12:05,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36
32892,0xd612,KOLRES04DEL01,35.0,4.4,22.538731,88.364878,22.608731,88.434878,18-02-2022,17:15,17:30,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37
19357,0x76ba,RANCHIRES12DEL02,33.0,4.7,0.0,0.0,0.08,0.08,27-03-2022,18:25,18:40,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41
13438,0x8a5,BANGRES18DEL01,,,12.913041,77.683237,12.953041,77.723237,15-03-2022,,14:50,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32
44907,0x274c,COIMBRES16DEL01,32.0,5.0,11.010375,76.95295,11.080375,77.02295,02-04-2022,18:40,18:50,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42
14680,0x4560,VADRES11DEL02,33.0,4.6,22.308096,73.167753,22.358096,73.217753,05-04-2022,22:45,22:55,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20
8165,0xdde6,KOCRES13DEL02,24.0,4.9,9.991703,76.293136,10.121703,76.423136,12-02-2022,21:15,21:20,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37
15390,0x3b8c,PUNERES18DEL01,20.0,4.3,18.593481,73.785901,18.633481,73.825901,24-03-2022,14:25,14:40,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46
19628,0x59db,MYSRES01DEL03,35.0,4.8,12.311072,76.654878,12.371072,76.714878,03-04-2022,23:50,24:05:00,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12
42694,0xe014,GOARES06DEL01,28.0,4.3,15.56155,73.749092,15.57155,73.759092,15-02-2022,10:35,10:40,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15
25562,0x17e1,BANGRES07DEL02,26.0,4.7,12.978453,77.643685,13.108453,77.773685,10-03-2022,17:55,18:05,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35
11327,0xc68b,DEHRES13DEL03,23.0,4.9,30.366322,78.070453,30.396322,78.100453,11-02-2022,19:10,19:15,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26
14606,0x65f4,PUNERES11DEL02,31.0,4.9,18.533811,73.899315,18.613811,73.979315,14-03-2022,17:50,18:05,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35
24157,0x4327,CHENRES11DEL01,29.0,4.5,13.064181,80.236442,13.174181,80.346442,16-03-2022,21:30,21:35,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19
42378,0x6ee,HYDRES19DEL01,,,17.458998,78.500366,17.468998,78.510366,09-03-2022,,11:50,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31
7152,0x610c,CHENRES16DEL02,39.0,4.6,13.049645,80.242268,13.099645,80.292268,01-04-2022,20:50,0.875,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20
28209,0x9bfb,BANGRES18DEL02,21.0,4.8,12.913041,77.683237,12.933041,77.703237,03-03-2022,08:10,08:20,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18
28762,0x2b9d,RANCHIRES02DEL01,26.0,4.9,0.0,0.0,0.01,0.01,19-03-2022,08:35,08:50,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23
24910,0x403f,MUMRES03DEL01,29.0,4.7,19.22384,72.841347,19.23384,72.851347,01-04-2022,11:10,11:25,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11
18869,0x69e4,JAPRES01DEL01,34.0,4.5,26.90519,75.810753,27.01519,75.920753,02-03-2022,1,24:05:00,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26
24136,0x2c63,INDORES03DEL02,30.0,4.6,22.751857,75.866699,22.801857,75.916699,13-03-2022,21:50,0.916666667,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17
45284,0x649f,BANGRES01DEL02,34.0,4.8,12.933284,77.615428,12.983284,77.665428,13-03-2022,20:35,20:50,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20
31420,0x1b80,JAPRES20DEL01,33.0,4.7,26.956431,75.776649,27.026431,75.846649,29-03-2022,22:45,0.958333333,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35
4202,0xc398,LUDHRES04DEL03,23.0,4.8,30.914057,75.83982,31.004057,75.92982,12-02-2022,0.833333333,20:05,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17
2239,0x2088,VADRES19DEL02,33.0,4.3,22.311844,73.165081,22.331844,73.185081,19-03-2022,08:20,08:30,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27
18841,0x2742,COIMBRES11DEL03,23.0,4.6,11.001753,76.986241,11.091753,77.076241,29-03-2022,19:45,19:55,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32
14875,0xb3b5,MYSRES09DEL01,31.0,5.0,12.323194,76.630583,12.363194,76.670583,03-03-2022,0.583333333,14:15,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28
1412,0x4326,VADRES13DEL03,39.0,4.8,22.310237,73.158921,22.340237,73.188921,13-03-2022,17:25,17:35,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34
37585,0x9579,MUMRES18DEL01,20.0,4.7,19.1093,72.825451,19.2193,72.935451,10-03-2022,18:50,19:05,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19
20496,0x4ead,COIMBRES03DEL02,37.0,5.0,11.025083,77.015393,11.045083,77.035393,28-03-2022,09:30,09:35,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12
6612,0x64d,SURRES04DEL01,,,21.173493,72.801953,21.283493,72.911953,31-03-2022,22:40,22:50,Stormy,Low,2,Snack,scooter,1.0,No,,14
36147,0xddd3,DEHRES20DEL02,31.0,4.8,0.0,0.0,0.08,0.08,14-02-2022,20:15,20:25,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27
5679,0x6754,MYSRES05DEL01,22.0,4.7,12.323978,76.627961,12.393978,76.697961,02-04-2022,22:10,22:25,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18
3560,0xa1ad,MUMRES19DEL03,30.0,4.9,19.131141,72.813074,19.221141,72.903074,23-03-2022,22:10,22:15,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25
6186,0x3b2d,JAPRES13DEL02,38.0,4.7,26.846156,75.8023,26.976156,75.9323,10-03-2022,22:15,22:30,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26
20082,0x5c2f,RANCHIRES03DEL01,34.0,4.1,0.0,0.0,0.11,0.11,14-03-2022,0.875,21:15,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37
5878,0x6f59,INDORES010DEL01,34.0,3.5,22.75004,75.902847,22.82004,75.972847,27-03-2022,20:20,20:30,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31
14518,0xaa98,BANGRES04DEL02,28.0,4.8,12.98041,77.640489,13.06041,77.720489,10-03-2022,19:30,19:40,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40
4097,0x8ccd,VADRES11DEL02,27.0,5.0,22.308096,73.167753,22.358096,73.217753,13-03-2022,21:45,0.916666667,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16
25308,0xaba,RANCHIRES18DEL01,,,23.351489,85.324253,23.391489,85.364253,28-03-2022,,13:50,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28
36285,0x3dca,VADRES16DEL03,22.0,4.3,0.0,0.0,0.09,0.09,14-03-2022,20:20,20:30,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42
26073,0xd029,KOLRES17DEL02,31.0,4.1,22.569358,88.433452,22.649358,88.513452,16-02-2022,19:10,19:20,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41
25577,0xb1b,VADRES02DEL01,35.0,5.0,0.0,0.0,0.01,0.01,28-03-2022,11:45,0.5,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28
43567,0x82c2,PUNERES17DEL01,30.0,4.7,18.530963,73.828972,18.540963,73.838972,05-04-2022,11:15,11:25,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32
6871,0x9ba,MYSRES02DEL02,35.0,4.0,12.304569,76.643622,12.354569,76.693622,21-03-2022,17:55,18:10,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32
21350,0xbb66,CHENRES17DEL02,35.0,4.8,13.045479,80.23311,13.125479,80.31311,06-04-2022,19:10,19:20,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38
8231,0x9226,CHENRES03DEL03,24.0,4.7,13.091809,80.219104,13.151809,80.279104,26-03-2022,17:35,17:50,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28
12969,0xacf4,SURRES20DEL02,36.0,4.5,21.15276,72.778059,21.23276,72.858059,23-03-2022,20:45,20:55,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49
3635,0xae3b,COIMBRES06DEL01,27.0,5.0,11.021278,76.995017,11.091278,77.065017,06-04-2022,22:10,22:15,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23
