Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
31420,33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,10.42547509986873
4202,23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,13.183266786432418
2239,33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,3.0295222223507365
18841,23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,14.022298282537264
14875,31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,6.217860689094804
1412,39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,4.544232356546281
37585,20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,16.82538340488173
20496,37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,3.116127221552501
6612,,,Stormy,Low,2,Snack,scooter,1.0,No,,14,16.721288103899063
36147,31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,12.58026782216666
5679,22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,10.88093543823611
3560,30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,13.765756924366846
6186,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,19.367701972034023
20082,34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,17.297865752893937
5878,34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,10.586953096729365
14518,28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,12.419602040798763
4097,27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,7.573523734238649
25308,,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,6.0376057117344475
36285,22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,14.152800689506924
26073,31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,12.10651131970407
25577,35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,1.5725337265584898
43567,30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,1.5322885570360325
6871,35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,7.77252320049916
21350,35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,12.418009922151581
8231,24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,9.312838467169481
12969,36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,12.162306144870003
3635,27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,10.906058503130946
3096,39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,16.90290998367753
24580,22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,10.906289036313037
12617,39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,13.583078662372667
29712,29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,12.58026782216666
39750,39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,4.674184358001537
26814,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,1.5368285425757406
40013,36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,1.5204696649092773
8450,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,4.590769055358847
32266,27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,4.494207463620029
33278,29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,16.41274679744389
6914,,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20.182482607606538
39416,30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,19.36342948175045
21502,23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,1.5093577670164835
45394,23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,6.1184711803543115
14447,32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,4.610120317596728
4342,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,3.1162385589582624
4998,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,13.972141328923932
20649,36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,1.554619808075942
6898,23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20.182728114835903
24184,24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,1.4897806661060058
10065,26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,10.867285240517937
35279,36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,19.97591692313727
24015,31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,7.790160607276956
21245,37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,9.075352487305347
26135,38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,13.612447554552565
43882,26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,7.573225613543872
32614,20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,7.77261895902156
36548,26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,4434.919719051925
20166,35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,3.0527511604097017
7722,34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,6.232472211068167
19293,22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,6.147404652585687
1357,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,9.088011034055526
21998,36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,4.596951629108698
2525,34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,10.866261860516522
13282,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,16.822056546184967
9027,26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,3.1090243980085717
35870,28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,7.761284984497349
30633,25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,3.019792716968146
39357,32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,16.608314041963972
18392,26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,12.23868634509712
16993,37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,19.97528686239015
25285,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,7.4483182468939795
35185,27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,10.881077849035108
44949,39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,7.762635434643752
21046,28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,4.717601091654031
37365,28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,12.16113135009256
43043,26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,9.32694086948928
28095,39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,1.5524290103805005
8133,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,7.772096240774094
5306,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,12.257118232949185
2577,33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,16.659979129044938
41623,27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,19.39597977202738
44466,37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,1.52916276337713
7978,27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,3.1050491919311813
20794,39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,19.659851482294183
5421,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,3.02953738832919
14883,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,13.973182653974487
8982,31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,3.0596070723621493
30634,38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,7.325299567430143
7409,34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,1.5321262819005874
12507,,,,,3,Snack,electric_scooter,2.0,No,Urban,40,10.756415548602094
251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,7.7613504049535935
35570,37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,12.293677673344574
12083,28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,16.637054384866953
36010,37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,16.82538340488173
4819,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,14.152800689506924
34442,37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,1.5136443675476847
19652,22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,2.979521050245772
20966,39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,4.544232356546281
26389,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,16.638590183191422
20417,35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,10.8674212648958
40484,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,4.657654936664735
35120,27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,4.537394871401189
8860,30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,16.600361127894633
26354,30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,6.146633645909954
32645,23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,3.087888624322901
29368,32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,7.790160607276956
31751,31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,1.5147814029387021
45051,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,19.472033277855537
542,20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,3.1450674354101187
3852,24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,7.772466272092122
12033,37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,1.5126978093478265
6002,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20.25296785008508
5198,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,7.564859910471562
27565,36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,13.763778585007291
39492,24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,4.528570753833522
8354,28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,13.40589201850077
24393,32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,1.554514379490486
39817,33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,1.5525569816082048
25334,21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,11.91659505984837
12423,38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20.178916924752546
20819,28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,4.539068202863132
42962,36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,12.463970104792164
26078,26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,7.68360839728931
45573,30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,3.0642670718363476
39774,23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,13.6158334590668
39751,38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,4.537940845665759
6326,33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,9.074684164011787
13413,28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,6.053489440625695
2917,28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,3.025279773180782
2229,22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,17.137491426369635
22807,27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,3.040891553714859
16158,20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,13.582337494248948
7963,25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,3.0586973146467455
26827,21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,9.088078141696645
31905,29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,19.68855300536724
20458,34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,16.85244461324599
39060,22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,16.47656243001569
42896,27.0,4.5,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,11,9.181151800929156
5654,26.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,3.105095438251917
3779,22.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,13.972194586988255
25315,20.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,17,3413.453269411299
3344,37.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32,7.761780026164523
31261,35.0,4.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,1.5581193602469814
36612,39.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,50,12.417687563968219
39753,25.0,4.0,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,16.113469821667486
28140,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,17.13829579052108
